
Joint Seat Allocation Authority 2026
IITs, IISc, NITs, IIEST, IIITs and Other-GFTIs for the Academic Year 2026-27

 Home
 CSC Login
Opening and Closing Ranks
Round No
Institute Type
Institute Name
Academic Program
Seat Type / Category
Opening/Closing Ranks for Open Seats represent CRL. Opening/Closing Ranks for EWS, OBC-NCL, SC and ST Seats represent respective Category Ranks. Opening/Closing Ranks for PwD Seats represent PwD Ranks within Respective Categories.

If the Closing/Opening rank has a suffix 'P', it indicates that the corresponding rank is from Preparatory Rank List.

Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	1273	1273
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	501	617
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	838	838
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	9276	10738
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	18129	18668
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	1549	1724
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	3720	4399
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	7240	7240
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	2090	2505
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	3934	3934
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	988	1029
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	2982	4775
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	8782	9329
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	651	730
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	1661	1884
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	3843	3843
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	1104	1145
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	2287	2287
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	600	600
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	8029	10367
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	16159	19641
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	151	354P
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	1385	1606
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	3089	3125
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	3119	4137
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	7589	8315
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	1760	2241
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	3359	3443
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	744	981
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	1136	1298
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	12064	13988
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	22088	22144
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	2026	2217
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	4913	5365
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	8700	9767
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	2589	2763
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	4239	4239
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	1255	1342
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	1754	1754
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	1785	2593
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	4949	6885
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	103	103
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	395	574
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	970	970
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	499	1467
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	2638	3412
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	62	62
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	99	610
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	804	889
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	SC (PwD)	Gender-Neutral	14P	14P
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	412	458
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	533	533
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science)	AI	OPEN	Gender-Neutral	5473	6691
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science)	AI	OPEN	Female-only (including Supernumerary)	11877	14289
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science)	AI	EWS	Gender-Neutral	1317	1636
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science)	AI	OBC-NCL	Gender-Neutral	2252	3464
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science)	AI	OBC-NCL	Female-only (including Supernumerary)	7037	7037
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science)	AI	SC	Gender-Neutral	1505	2142
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science)	AI	SC	Female-only (including Supernumerary)	3660	3660
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science)	AI	ST	Gender-Neutral	910	998
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science)	AI	ST	Female-only (including Supernumerary)	1466	1466
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science)	AI	OPEN	Gender-Neutral	827	1042
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science)	AI	OPEN	Female-only (including Supernumerary)	3727	3727
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science)	AI	EWS	Gender-Neutral	287	287
