
Joint Seat Allocation Authority 2026
IITs, IISc, NITs, IIEST, IIITs and Other-GFTIs for the Academic Year 2026-27

 Home
 CSC Login
Opening and Closing Ranks
Round No
Institute Type
Institute Name
Academic Program
Seat Type / Category
Opening/Closing Ranks for Open Seats represent CRL. Opening/Closing Ranks for EWS, OBC-NCL, SC and ST Seats represent respective Category Ranks. Opening/Closing Ranks for PwD Seats represent PwD Ranks within Respective Categories.

If the Closing/Opening rank has a suffix 'P', it indicates that the corresponding rank is from Preparatory Rank List.

Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	10752	15433
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	15637	24722
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	2143	2235
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	4180	4191
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	4528	5405
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	8841	10132
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	2260	2766
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	4117	4371
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	989	1080
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	1128	1338
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	3022	4642
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	5759	8238
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Female-only (including Supernumerary)	227	227
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	567	643
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	1274	1393
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	1242	1544
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	2762	3481
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	41	41
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	368	899
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	1201	1260
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	264	326
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	649	649
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	6079	7660
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	13304	14907
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	260P	260P
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	1095	1161
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	2219	2267
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	2394	2970
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	5616	6113
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	1364	1691
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	2605	2643
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	613	787
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	1086	1086
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	3866	5832
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	9845	11841
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	43	43
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	705	816
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	1745	1745
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	1553	2128
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	3745	4475
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	946	1187
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	1273	1273
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	501	657
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	838	838
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	9276	11565
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	18129	18668
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	1549	1724
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	3720	4574
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	8625	8625
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	2505	2592
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	3934	3934
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	988	1029
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	2982	4946
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	8782	9329
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	737	762
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	1750	1935
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	3843	3843
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	1104	1145
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	2287	2287
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	600	600
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	8029	10784
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	16427	20247
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	354P	354P
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	1400	1652
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	3089	3125
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	3454	4286
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	7589	8401
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	1760	2399
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	3359	3908
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	744	981
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	1136	1298
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	12794	14266
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	22088	22144
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	2280	2321
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	4913	5620
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	9826	10272
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	2589	2867
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	4519	4519
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	1373	1375
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	1828	1828
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	1785	2638
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	4949	6885
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	103	103
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	395	589
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	970	970
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	517	1546
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	2638	3632
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	62	62
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	336	731
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	804	889
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology)	AI	SC (PwD)	Gender-Neutral	14P	14P
